,Sounding,CVFs,Tone,CadType,counts
0,1.0,Cx,B,Abandoned Authentic,1
1,2.0,BC,D,Authentic,1
2,2.0,CB,B,Authentic,3
3,2.0,CB,D,Authentic,1
4,2.0,CT,A,Clausula Vera,1
5,2.0,CT,D,Clausula Vera,3
6,2.0,CT,F#,Phrygian Clausula Vera,2
7,2.0,CT,G,Clausula Vera,4
8,2.0,Cu,B,Evaded Authentic,1
9,2.0,TC,A,Clausula Vera,1
10,2.0,TC,B,Clausula Vera,2
11,2.0,TC,D,Clausula Vera,1
12,2.0,TC,G,Clausula Vera,2
13,2.0,tC,A,Evaded Clausula Vera,2
14,2.0,tC,D,Evaded Clausula Vera,2
15,2.0,tC,E,Evaded Clausula Vera,1
16,2.0,tC,G,Evaded Clausula Vera,1
17,3.0,CB,C,Authentic,2
18,3.0,CB,G,Authentic,2
19,3.0,CT,C,Clausula Vera,4
20,3.0,CT,D,Clausula Vera,1
21,3.0,CT,G,Clausula Vera,3
22,3.0,TCB,A,Authentic,1
23,3.0,TCB,G,Authentic,2
24,3.0,tC,C,Evaded Clausula Vera,1
25,3.0,tC,G,Evaded Clausula Vera,4
26,3.0,tCB,G,Authentic,4
27,4.0,CB,B-,Authentic,1
28,4.0,CB,G,Authentic,1
29,4.0,CT,A,Clausula Vera,1
30,4.0,CT,A,Phrygian Clausula Vera,1
31,4.0,CT,E,Phrygian Clausula Vera,2
32,4.0,CT,F,Clausula Vera,1
33,4.0,CT,G,Clausula Vera,2
34,4.0,CTB,C,Authentic,1
35,4.0,CTB,D,Authentic,1
36,4.0,CTB,G,Authentic,1
37,4.0,CTP,E,Phrygian,1
38,4.0,CtB,C,Authentic,1
39,4.0,CtB,D,Authentic,2
40,4.0,CtB,F,Authentic,1
41,4.0,tC,D,Evaded Clausula Vera,1
42,4.0,tCB,A,Authentic,2
43,4.0,tCB,B-,Authentic,1
44,5.0,CB,C,Authentic,1
45,5.0,CTB,C,Authentic,1
46,5.0,tCTB,C,Authentic,1
47,5.0,tCuB,C,Authentic,1
